epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,253154,0.63832,0.59657,1.11176,0.77693,0.76331,0.77485,0.62249,0.56636,0.51404,0.95346,0.001255,0.001255,0.001255
108,255232,0.63553,0.58927,1.10956,0.77451,0.76472,0.77561,0.62193,0.56633,0.51373,0.95355,0.0011725,0.0011725,0.0011725
109,257284,0.63403,0.58986,1.10873,0.77713,0.76563,0.77484,0.6221,0.56634,0.51431,0.95329,0.00109,0.00109,0.00109
110,259323,0.62833,0.58599,1.10622,0.77775,0.76715,0.7742,0.62187,0.56595,0.51341,0.95295,0.0010075,0.0010075,0.0010075
111,261387,0.54886,0.48001,1.10318,0.78368,0.76714,0.7756,0.62206,0.56531,0.51203,0.95253,0.000925,0.000925,0.000925
112,263410,0.53983,0.46933,1.09548,0.78994,0.76556,0.77663,0.62244,0.56435,0.5109,0.95243,0.0008425,0.0008425,0.0008425
113,265447,0.53687,0.46123,1.09399,0.7919,0.76115,0.77687,0.62286,0.56284,0.50939,0.95137,0.00076,0.00076,0.00076
114,267476,0.53084,0.45717,1.08954,0.7981,0.75835,0.77688,0.62333,0.56137,0.50846,0.95043,0.0006775,0.0006775,0.0006775
115,269488,0.52363,0.44881,1.08448,0.79866,0.76021,0.77713,0.6238,0.56048,0.50743,0.95007,0.000595,0.000595,0.000595
116,271521,0.51943,0.44316,1.08196,0.80065,0.75973,0.77707,0.62467,0.56066,0.50707,0.95032,0.0005125,0.0005125,0.0005125
117,273550,0.51521,0.43885,1.07977,0.8027,0.76358,0.77902,0.62495,0.56061,0.50683,0.94993,0.00043,0.00043,0.00043
118,275599,0.51249,0.43488,1.07731,0.79772,0.76351,0.77817,0.62518,0.55909,0.50619,0.9481,0.0003475,0.0003475,0.0003475
119,277604,0.50642,0.42658,1.07329,0.80041,0.76436,0.78024,0.62538,0.5591,0.50601,0.94812,0.000265,0.000265,0.000265
120,279635,0.50408,0.42325,1.07037,0.80531,0.76207,0.77876,0.6252,0.5597,0.50575,0.9487,0.0001825,0.0001825,0.0001825
